Column1;Column2;Column3;Column4;Column5;Column6
 2017 French Senate election;9/20/2017;9/30/2017;France;https://en.wikipedia.org/wiki/2017_French_Senate_election;overt
 A mass rally is held in Paris protesting against government plans to legalise same-sex marriage;1/1/2013;1/20/2013;France;https://en.wikipedia.org/wiki/Same-sex_marriage;overt
 En Marche, a liberal centrist political party, is founded by Emmanuel Macron in Amiens;4/1/2016;4/20/2016;France;https://en.wikipedia.org/wiki/En_Marche!;overt
 Jacques Chirac returns for a second term as President of the French Republic;5/1/2002;4/20/2007;France;https://en.wikipedia.org/wiki/Jacques_Chirac;overt
 Philippe government reshuffle;10/10/2018;10/20/2018;France;https://en.wikipedia.org/wiki/Second_Philippe_government;overt
 The term 'mademoiselle' is removed from official documents following a campaign by feminist organisations;2/18/2012;2/28/2012;France;https://www.nytimes.com/2012/02/23/world/europe/france-drops-mademoiselle-from-official-use.html;overt
 Voters in France go to the polls for the first round of voting in local government elections;3/15/2015;3/30/2015;France;https://www.bbc.com/news/world-europe-32006268;overt
2004 Senate election held;9/20/2004;9/30/2004;France;https://en.wikipedia.org/wiki/2004_French_Senate_election;overt
2005 French riots;10/27/2005;11/17/2005;France;https://en.wikipedia.org/wiki/2005_French_riots;overt
2007 French legislative election;6/1/2007;6/20/2007;France;https://en.wikipedia.org/wiki/2007_French_legislative_election;overt
2008 Cantonal elections held;3/1/2008;3/20/2008;France;https://en.wikipedia.org/wiki/2008_French_cantonal_elections;overt
2009 European Election;6/1/2009;6/30/2009;France;https://www.service-public.fr/particuliers/vosdroits/F1939;overt
2010 French pension reform strikes;9/1/2010;9/30/2010;France;https://en.wikipedia.org/wiki/2010_French_pension_reform_strikes;overt
2010 French regionales elections;3/10/2010;3/25/2010;France;https://en.wikipedia.org/wiki/2010_French_regional_elections;overt
2011 Cantonales and  Municipal Elections;3/1/2001;3/30/2001;France;https://en.wikipedia.org/wiki/2001_French_municipal_elections;overt
2011 French cantonal elections;3/1/2011;3/31/2011;France;https://en.wikipedia.org/wiki/2011_French_cantonal_elections;overt
2015 Terrorist attacks rip through France by Islamic State;11/1/2015;11/20/2015;France;https://www.bbc.com/news/world-europe-34814203;overt
2016 Normandy church attack;7/20/2016;7/30/2016;France;https://en.wikipedia.org/wiki/2016_Normandy_church_attack;overt
30 000 etudiants manifestent en France pour le retrait de la r forme LMD-ECTS;11/20/2003;11/30/2003;France;https://fr.wikipedia.org/wiki/R%C3%A9forme_Licence-Master-Doctorat;overt
a demonstration is held in Paris for the abolition of prisons;11/1/2000;11/20/2000;France;https://en.wikipedia.org/wiki/2000_French_constitutional_referendum;overt
Amendment to the 35-hour workweek law;03/31/2005;4/30/2005;France;https://en.wikipedia.org/wiki/35-hour_workweek;overt
Ban face covering;9/14/2010;10/14/2010;France;https://en.wikipedia.org/wiki/French_ban_on_face_covering;overt
Bastille Day riots in Paris;7/10/2009;7/20/2009;France;https://en.wikipedia.org/wiki/2009_French_riots;overt
Beginning of a period of intermittent strikes at the French National Railway Company;4/1/2018;4/20/2018;France;https://en.wikipedia.org/wiki/SNCF;overt
Beginning of the Gilets jaunes protests;11/10/2018;11/20/2018;France;https://en.wikipedia.org/wiki/Gilets_jaunes_protests;overt
Britain leaves European Union;1/1/2016;12/31/2016;Europe;https://en.wikipedia.org/wiki/Brexit;overt
Emmanuel Macron as French president;5/14/2017;12/31/2018;France;https://en.wikipedia.org/wiki/Emmanuel_Macron;overt
European Parliament election in France;6/5/2004;6/20/2004;France;https://en.wikipedia.org/wiki/2004_European_Parliament_election_in_France;overt
Formation of the First Philippe government;5/10/2017;5/22/2017;France;https://en.wikipedia.org/wiki/First_Philippe_government;overt
Fracs replaced by euro coin as legacy currency;1/2/2002;1/31/2002;France;https://en.wikipedia.org/wiki/Euro;overt
Fran?ois Hollande as French president;5/6/2012;4/30/2017;France;https://en.wikipedia.org/wiki/Fran%C3%A7ois_Hollande;overt
France wins the football world cup;6/10/2018;7/10/2018;France;https://en.wikipedia.org/wiki/35-hour_workweek;overt
General strikes in Guadeloupe and Martinique;22/1/2009;2/20/2009;France;https://en.wikipedia.org/wiki/Guadeloupe;overt
hausse de 17,5 % du prix du tabac en France. Premires greves des buralistes.;10/5/2003;10/25/2003;France;https://fr.wikipedia.org/wiki/Tabac;overt
Loi fiscale augmentant les impts de 8 milliards d'euros. L'aggravation du dificit oblige le president Chirac  revenir sur sa promesse de baisse d'impts.;12/1/2003;12/30/2003;France;https://fr.wikipedia.org/wiki/Jacques_Chirac;overt
name;start;end;sphere;link;type
National Assembly votes in favour of changing the Presidential term to five years;6/1/2000;9/20/2000;France;https://archive.org/details/cassellschronolo0000will/page/649;overt
Nicolas Sarkozy as French president;5/15/2007;4/30/2012;France;https://en.wikipedia.org/wiki/35-hour_workweek;overt
Official figures released today show that the economy has returned to recession;5/1/2013;5/15/2013;France;https://www.bbc.com/news/business-22536197;overt
President Fran?ois Hollande confirms French participation in operations in Mali against Islamist armed groups;1/10/2013;1/20/2013;France;https://web.archive.org/web/20130112023139/http://www.bbc.co.uk/news/world-africa-20991719;overt
Prime Minister ?douard Philippe announces government plans for changes for labour legislation;6/1/2017;6/12/2017;France;https://www.reuters.com/article/us-france-election-labour-idUSKBN18X23L;overt
Strike action by French public sector workers causes major disruption to services;1/20/2009;2/1/2009;France;http://news.bbc.co.uk/2/hi/europe/2912825.stm;overt
The El Khomri law is signed by President Hollande;8/1/2016;8/15/2016;France;https://en.wikipedia.org/wiki/El_Khomri_law;overt
The European Parliament elections take place;5/10/2014;5/30/2014;France;https://www.theguardian.com/world/2014/may/25/marine-le-pen-confidence-proves-vindicated-front-national;overt
The French National Assembly votes to pass a law banning religious items and clothing from schools;2/1/2004;2/15/2004;France;https://archive.org/details/cassellschronolo0000will/page/656;overt
The French Parliament passes a bill legalising same-sex marriage and adoption by same-sex couples;4/19/2013;4/28/2013;France;https://www.bbc.co.uk/news/world-europe-22261494;overt
The government unveils a bill to revitalise France's deprived suburbs;8/1/2013;8/15/2013;France;https://www.bbc.co.uk/news/world-europe-23550161;overt
The National Assembly approves a bill extending rights to marry and adopt to homosexual couples by 329-229;2/5/2013;2/20/2013;France;https://edition.cnn.com/2013/02/12/world/europe/france-gay-marriage-vote/;overt
The Senate passes a bill criminalising the denial of the Armenian Genocide;1/20/2012;2/10/2012;France;https://www.theguardian.com/world/2012/jan/23/armenian-genocide-denial-ban-france;overt
The total jobless count in mainland France now stands at 3.347 million;3/20/2014;3/30/2014;France;http://www.france24.com/en/20140326-french-unemployment-february-labour-ministry-hollande/;overt
